dish_id,n_mentions,H_taste,satiety_mean,satiety_pos_rate,satiety_neg_rate,comfort_rate,occasion_special_rate,occasion_everyday_rate,E_composite,log_E,log_DEI,meal_role,calorie_kcal,protein_g,cuisine,category_recipe,H_satiety
baba_ganoush,500,7.494730348825454,0.06070884599888738,0.142,0.1,0.018,0.008,0.02,0.2283327510889237,-1.4769512793667894,3.4911874109213503,Light Main,309.00000000000006,6.065,Mediterranean,Mixed/Other,2.3875827360676207
baklava,500,7.480218629837037,0.09843970815060538,0.138,0.086,0.02,0.018,0.01,0.28131109410514,-1.26829412556817,3.280526917554556,Heavy Main,1113.1999999999998,15.54,Mediterranean,Dessert,2.6691124109169833
banh_mi,500,7.249215884208679,-0.04269083027778159,0.094,0.126,0.036,0.0,0.016,0.2565416685710571,-1.3604641769955543,3.3413277053142947,Full Main,587.05,32.015,Vietnamese,Starch/Carb,1.6160637306272827
beef_bourguignon,402,7.34375483538974,0.24936624494539325,0.23134328358208955,0.1044776119402985,0.022388059701492536,0.04477611940298507,0.009950248756218905,0.8163411367437777,-0.2029229516456316,2.196806604963821,Heavy Main,843.3499999999998,66.185,French,Red Meat Main,3.795254152897885
bibimbap,500,7.176191483974457,0.06273080590634933,0.124,0.092,0.048,0.0,0.01,0.4103771234250521,-0.890678728820914,2.861420853577409,Full Main,676.3,36.14,Korean,Starch/Carb,2.40266963530192
biryani,500,6.7893765993118285,0.014709353451911128,0.074,0.052,0.026,0.006,0.008,0.3345396378994281,-1.0949999074823478,3.010303562801858,Heavy Main,706.7400000000001,45.902,Indian,Poultry Main,2.0443564899269333
brisket,500,7.046026602268219,0.07822256952620797,0.106,0.058,0.016,0.008,0.008,0.9792094431862688,-0.0210097234937495,1.9734698034127955,Full Main,649.47,65.85799999999999,American,Red Meat Main,2.518261777278549
brownie,500,7.362209852695465,0.1269357987895972,0.122,0.06,0.01,0.038,0.006,0.3645830754384144,-1.0090008373475932,3.0053324723044224,Heavy Main,1135.4,15.31,Other,Dessert,2.881736630841098
bruschetta,500,7.30421360039711,0.08101151653209612,0.136,0.084,0.012,0.024,0.018,0.2200736836601747,-1.51379286297681,3.502215006269477,Light Main,367.14,8.336,Italian,Starch/Carb,2.5390715679634948
buffalo_wings,500,6.761100242853165,0.05060887383176616,0.074,0.054,0.014,0.002,0.012,0.386292331318037,-0.9511608611299428,2.8623316692384835,Heavy Main,877.2,62.02,American,Poultry Main,2.31222156703937
bulgogi,500,7.375190054893493,0.08141649785495071,0.124,0.078,0.034,0.0,0.012,0.6615588732726678,-0.4131562997310227,2.4112522019569065,Full Main,685.5000000000001,55.0,Korean,Red Meat Main,2.542093345194157
bun_bo_hue,500,6.8833929083347325,0.040947255327281565,0.112,0.088,0.058,0.0,0.004,0.4268114422342925,-0.8514129505552047,2.780467553971432,Heavy Main,962.9,47.42,Vietnamese,Red Meat Main,2.2401311837041384
bun_cha,130,7.232413867803721,0.18947437858568567,0.16153846153846155,0.05384615384615385,0.03076923076923077,0.0,0.0,0.2664993860833531,-1.322383339006084,3.3008989620959595,Heavy Main,896.3000000000001,39.245,Vietnamese,Pork Main,3.348369647726243
